bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
18,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mackbook items review Check Rating working properly but only Enter Rating then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
19,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mackbook items review Check Your review working properly but Your Review does not increase width and scroll is also not adjustable"
20,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Featured Mackbook items Check write a review it not open"
21,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mackbook Items Wish List button are working and hover effect properly but there are  wish list button click redirect  to login page and items are not show"
22,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mackbook items Compare this product button are working properly but  i click on macbook items Compare this product button click to Product Comparison page item  not   show"
23,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows there are Featured Mackbook items quantity are working proper but alphabets and letter are available there not correct"
24,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on Featured Mackbook items Check Add to Cart button are working properly but there are add to cart button redirect to shopping cart item not show"
25,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on Check Add to Cart button,Wish List,Compare this product are working properly but  open cart home page i click on Add to Cart button ,wish list ,compare this product there are item  not show"
26,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured iPhone items Slider-Next Button are working properly but there are speed means more than 1 times it chenges the alignment of page"
27,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured iPhone items Slider-Previous Button are working properly but there are speed means more than 1 times it chenges the alignment of page"
28,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured iPhone items review Check Your Name there are number are not vaild"
29,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured iPhone items review Check your name working properly but only Enter Your Name then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
30,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured iPhone items review Check your Review working properly but only Enter Your Review then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
31,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured iPhone items review Check Rating working properly but only Enter Rating then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
32,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured iPhone items review Check Your review working properly but Your Review does not increase width and scroll is also not adjustable"
33,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Featured iPhone items Check write a review it not open"
34,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured iPhone Items Wish List button are working and hover effect properly but there are  wish list button click redirect  to login page and items are not show"
35,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured iPhone items Compare this product button are working properly but  i click on macbook items Compare this product button click to Product Comparison page item  not   show"
36,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows there are Featured iPhone items quantity are working proper but alphabets and letter are available there not correct"
37,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on Featured iPhone items Check Add to Cart button are working properly but there are add to cart button redirect to shopping cart item not show"
38,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on Check Add to Cart button,Wish List,Compare this product are working properly but  open cart home page i click on Add to Cart button ,wish list ,compare this product there are item  not show"
39,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items Slider-Next Button are working properly but there are speed means more than 1 times it chenges the alignment of page"
40,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items Slider-Previous Button are working properly but there are speed means more than 1 times it chenges the alignment of page"
41,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items review Check Your Name there are number are not vaild"
42,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items review Check your name working properly but only Enter Your Name then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
43,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items review Check your Review working properly but only Enter Your Review then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
44,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items review Check Rating working properly but only Enter Rating then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
45,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured  Apple Cinema 30 items review Check Your review working properly but Your Review does not increase width and scroll is also not adjustable"
46,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Featured Apple Cinema 30  items Check write a review it not open"
47,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 Items Wish List button are working and hover effect properly but there are  wish list button click redirect  to login page and items are not show"
48,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items Compare this product button are working properly but  i click on macbook items Compare this product button click to Product Comparison page item  not   show"
49,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Featured Apple Cinema 30  items Check quantity are working properly but This Product has a minimum quantity of  2 maximum are availble"
50,"major","---","Windows","a@gmail.com","ASSIGNED","---","It shows be i click on Apple Cinema 30 items Check quantity working properly but there are  number are vaild and  letter availble"
51,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on Featured Apple Cinema 30 items Check Add to Cart button are working properly but there are add to cart button redirect to shopping cart item not show"
52,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on Check Add to Cart button,Wish List,Compare this product are working properly but  open cart home page i click on Add to Cart button ,wish list ,compare this product there are item  not show"
53,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on on Featured Apple Cinema 30 items Check text options are working properly but already test write in textbox no syntex filed"
54,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Featured Apple Cinema 30 items Check Textarea options working properly but  textarea does not increase width and scroll is also not adjustable"
55,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  Featured Apple Cinema 30 items Check uploadfile options are working properly but i click on check upload file options i add to file there are not showing file"
56,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Featured Apple Cinema 30 items Check Date options button are not work"
57,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Featured Apple Cinema 30 items Check Time options  button are not work"
58,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  Featured Apple Cinema 30 items Check Date & Time options button are not work"
59,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items review Check radio button working properly but  i only Enter Check radio button then it shows error for both radio ,Checkbox,select,textarea  and File upload  all button that is not correct"
60,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items review Check Checkbox button working properly but i only Enter Check Checkbox button then it shows error for both radio ,select,textarea  and File upload  all button that is not correct"
61,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items review Check select button working properly but i only Enter Check Select button then it shows error for both radio ,checkbox,textarea and File upload  all button that is not correct"
62,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items review Check Textarea button working properly but  i only Enter Check textarea button then it shows error for both radio ,checkbox,select and File upload  all button that is not correct"
63,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Apple Cinema 30 items review Check File upload button working properly buti only Enter Check File upload button then it shows error for both radio ,checkbox,select and file upload  all button that is not correct"
64,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be Featured Canon EOS 5D items are working properly but  i Put Cursor on tab it wrong name showing"
65,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Canon EOS 5D items Slider-Next Button are working properly but there are speed means more than 1 times it chenges the alignment of page"
66,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Canon EOS 5D items Slider-Previous Button are working properly but there are speed means more than 1 times it chenges the alignment of page"
67,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Canon EOS 5D items review Check Your Name there are number are not vaild"
68,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Canon EOS 5D items review Check your name working properly but only Enter Your Name then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
69,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Canon EOS 5D items review Check your Review working properly but only Enter Your Review then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
70,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Canon EOS 5D items review Check Rating working properly but only Enter Rating then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
71,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured   Canon EOS 5D items review Check Your review working properly but Your Review does not increase width and scroll is also not adjustable"
72,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Featured Canon EOS 5D  items Check write a review it not open"
73,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Canon EOS 5D  Items Wish List button are working and hover effect properly but there are  wish list button click redirect  to login page and items are not show"
74,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Canon EOS 5D  items Compare this product button are working properly but  i click on macbook items Compare this product button click to Product Comparison page item  not   show"
75,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows there are Featured Canon EOS 5D items quantity are working proper but alphabets and letter are available there not correct"
76,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Featured Canon EOS 5D items Check Add to Cart button are working properly but  click on Add to Cart button redirect to shopping Cart item not show"
77,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Proper Terms & Conditions is not there"
78,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Proper Delivery Information  is not there"
79,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Proper  About Us  is not there"
80,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Proper  Privacy Policy  is not there"
81,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  name there number are allowed"
82,"major","---","Windows","a@gmail.com","ASSIGNED","---","It shows be your name are working properly but i only Enter Your name then it shows error for both Your name,E-Mail Address, and Enquiry that is not correct"
83,"major","---","Windows","a@gmail.com","ASSIGNED","---","It shows be Email address are working properly but i only Enter Email address then it shows error for both Your name,E-Mail Address, and Enquiry that is not correct"
84,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be Enquiry are working properly but  i only Enter Enquiry then it shows error for both Your name,E-Mail Address, and Enquiry that is not correct"
85,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Enquiry are working properly but Enquiry does not increase width and scroll is also not adjustable"
86,"major","---","Windows","a@gmail.com","ASSIGNED","---","it should be i click on submit button  your name,email address,enquiry all fill mandetory Your enquiry has been successfully sent to the store owner! message are showing but i  click heder previous button click all record are showing"
87,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on i click  all mandority sumbit button enter key are not work"
88,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on first name & last name number and special character are not allowed so there must be show validation message"
89,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on email are working properly but umber and characater are not allowed so there must be show vaaildation message"
90,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on telephone characater are not allowed so there must be show vaaildation message"
91,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i Click on Order ID are working properly but there are alaphabets and letter are avvailable"
92,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Order Date:button are work properly"
93,"major","---","Windows","a@gmail.com","ASSIGNED","---","its shows be product  name number are allowed"
94,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on product Code are working properly but there are number and special character are not allowed so there must be show validation message"
95,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Quantity are working properly but there are  special character are not allowed so there must be show validation message"
96,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Faulty or other details are working properly but does not increase width and scroll is also not adjustable"
97,"major","---","Windows","a@gmail.com","ASSIGNED","---","""it shows i click on submit button are working properly but  i Order Information and Product Information form click to submit button  redirect to Product returns form  """
98,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i  click on back buton there are  back button to redirect to login page"
99,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Order Information  and Product Information form are working properly but there are no no syntex for all filed"
100,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on site map information button are not work"
101,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on brand all band company name are working properly but H index  htc brand are many space"
102,"major","---","Windows","a@gmail.com","ASSIGNED","---","its shows be i click on Recipient's Name are working properly but  number and special character are not allowed so there must be show validation message"
103,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be number  are not allowed so there must be show validation message"
104,"major","---","Windows","a@gmail.com","ASSIGNED","---","its shows be i click on Your Name are working properly but  number and special character are not allowed so there must be show validation message"
105,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be number  are not allowed so there must be show validation message"
106,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on message are Asterisk symbol are not from"
107,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on message does not increase width and scroll is also not adjustable"
108,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Amount  special character are not allowed so there must be show validation message"
109,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows  i click on continue button all field fill up but i click continue button redirect to Gift Certificate form and record are show"
110,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on gift certificate form  all mandority  Continue button enter key are not work"
111,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Gift certificate all filed are no syntex for all filed"
112,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  to redirect to login page"
113,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Account button to redirect  login page"
114,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be  product compare there are product are not showing"
115,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Show are working properly but there are not change product details"
116,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","its shows be i click on My Account are working properly but  redirect login page"
117,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","its shows be i Click on Order History are working properly but  redirect login page"
118,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Wish List are working properly but redirect login page"
119,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Newsletter are working properly but there redirect login page"
120,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  name there number are allowed"
121,"major","---","Windows","a@gmail.com","ASSIGNED","---","It shows be your name are working properly but i only Enter Your name then it shows error for both Your name,E-Mail Address, and Enquiry that is not correct"
122,"major","---","Windows","a@gmail.com","ASSIGNED","---","It shows be Email address are working properly but i only Enter Email address then it shows error for both Your name,E-Mail Address, and Enquiry that is not correct"
123,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be Enquiry are working properly but  i only Enter Enquiry then it shows error for both Your name,E-Mail Address, and Enquiry that is not correct"
124,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Enquiry are working properly but Enquiry does not increase width and scroll is also not adjustable"
125,"major","---","Windows","a@gmail.com","ASSIGNED","---","it should be i click on submit button  your name,email address,enquiry all fill mandetory Your enquiry has been successfully sent to the store owner! message are showing but i  click heder previous button click all record are showing"
126,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on i click  all mandority sumbit button enter key are not work"
127,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on First name number  are not allowed so there must be show validation message"
128,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Last name number  are not allowed so there must be show validation message"
129,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on password working properly but no syntex for password and show hide options not show"
130,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Privacy policy are working  properly but there are dialog message privacy policy no details are privacy policy"
131,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click On Continue button are working properly but  i click on Continue button there are no messge in dialogbox"
132,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it  shows be Register Account form are working properly but no syntex for all fileds"
133,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Continue button all fileds are fil up continue button click to redirect to Register account page"
134,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on email address please include @ in the textbox message are showing no syntex  for filed"
135,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on password no syntex for password showing and hide option"
136,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Login button there are no messge in dialogbox"
137,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on login form are no syntex for all fileds"
138,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on login button i click on all fileds are fil up Login button click to redirect to Login account page"
139,"major","---","Windows","a@gmail.com","ASSIGNED","---","it should be i Click on Email nclude @ in the textbox message are showing no syntex  for filed"
140,"major","---","Windows","a@gmail.com","ASSIGNED","---","it show be i click on Forgot Your Password are working properly but no syntex for all fileds"
141,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i clickon forgot your password  but password filed are missing."
142,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on add to cart item  shopping cart detail are not show"
143,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Checkout  to redirect to shopping cart item are not show"
144,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows  i click on desktops menu it not open properly"
145,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Desktopd product compare are working properly but  Compare product are not show"
146,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Desktops sort by  all option are working properly but any option on 2nd page to redirect first page,Model(A-Z),Model(Z-A) are not  working properly"
147,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on show are working properly but  second option previous,next button are not show"
148,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  Product 8 it open properly but  product 8 image are not show,next,previous button close button,esc key not work"
149,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on all desktops two previous button,two next button"
150,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Mac  product items Slider-Next Button are working properly but there are speed means more than 1 times it chenges the alignment of page"
151,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Mac  product items Slider-Previous Button are working properly but there are speed means more than 1 times it chenges the alignment of page"
152,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Mac  product items review Check Your Name there are number are not vaild"
153,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mac product  items review Check your name working properly but only Enter Your Name then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
154,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mac product items review Check your Review working properly but only Enter Your Review then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
155,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Mac product  items review Check Rating working properly but only Enter Rating then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
156,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Mac  product  items review Check Your review working properly but Your Review does not increase width and scroll is also not adjustable"
157,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Mac product  items Check write a review it not open"
158,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mac product  Items Wish List button are working and hover effect properly but there are  wish list button click redirect  to login page and items are not show"
159,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Mac product items Compare this product button are working properly but  i click on macbook items Compare this product button click to Product Comparison page item  not   show"
160,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows there are Mac product  items quantity are working proper but alphabets and letter are available there not correct"
161,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on Mac product items Check Add to Cart button are working properly but there are add to cart button redirect to shopping cart item not show"
162,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows  i click on desktops menu it not open properly"
163,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Laptops & Notebooks Menu Compare are working properly but Compare product are not show"
164,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Laptops & Notebooks Menu Sort by are working properly but  i click on sort by any option on 2nd page to redirect first page,Model(A-Z),Model(Z-A) are not  working properly"
165,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be  i click on  Laptops & Notebooks Menu show product detail are not chenged."
166,"major","---","Windows","a@gmail.com","ASSIGNED","---","It shows be  HP LP3065  product  items Slider-Next Button are working properly but there are speed means more than 1 times it chnages the alignment of page"
167,"major","---","Windows","a@gmail.com","ASSIGNED","---","It shows be HP LP3065  product items Slider-Previous Button are working properly but there are speed means more than 1 times it chnages the alignment of page"
168,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on i click on HP LP3065  product  items review Check Your name working properly but Name   there are number are not vaild"
169,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be   i click on HP LP3065  product items review Check Your name working properly  but only Enter Your Name then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
170,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be   i click on HP LP3065  product items review Check Your Review working properly  but only Enter Your Review then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
171,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  HP LP3065  product  items review Check Rating working properly  but only Enter Rating then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
172,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","It shows be i click on HP LP3065  product items review Check Your Review write and work properly but Your Review does not increase width and scroll is also not adjustable"
173,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on HP LP3065  product  items Check write a review  it not open"
174,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on HP LP3065  product  Items wish List button work perfect. hover the cursor  it shows proper preview but there are  wish list button click redirect  to login page and items are not show"
175,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on HP LP3065 product  items Compare this product button work perfect.  hover the cursor  it shows proper preview but  i click on macbook items Compare this product button click to Product Comparison page item  not   show"
176,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on HP LP3065  product Delivery Date are working properly but  Date button are not working"
177,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on HP LP3065  product  items Check quantity are working properly but there alphabets and letter are available there not correct."
178,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","It shows be i click on HP LP3065  product  items Check Add to Cart button are working properly but there are  click on Add to Cart button redirect to shopping Cart item not show"
179,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be  i click on Components it not open properly"
180,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be   i click on Monitors product Compare are working properly but Compare product are not show"
181,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Monitors Product Show by are working properly but show product detail are not chenged."
182,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Monitors product Compare are working properly but Compare product are not show"
183,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Monitors product show are working properly but  show product detail are not chenged"
184,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Phones & PDAs Compare are working properly but Compare product are not show"
185,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Phones & PDAs show  are working properly but  product detail are not chenged"
186,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Cameras Compare are working properly but Compare product are not show"
187,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Cameras  show  are working properly but  product detail are not chenged"
188,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  MP3 Players Menu are working properly but it not open properly"
189,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on MP3 Players Compare are working properly but Compare product are not show"
190,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on MP3 Players show are working properly but show product detail are not chenged."
191,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on cart with login it opens cart page are working properly but  cart product detail are not show"
